,Company,Net Income Incl Extra Before Distributions,Percentage of Green Products,Date,ESG Period Last Update Date,ESG Score,ESG Controversies Score,Environmental Controversies Count,Human Rights Controversies,Business Ethics Controversies,Wages Working Condition Controversies Count,Controversies Customer Health & Safety,Waste Recycling Ratio,Waste Total,Total Renewable Energy To Energy Use in million,Total Renewable Energy,Environmental Expenditures,"CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million Score",Estimated CO2 Equivalents Emission Total,Water Use To Revenues USD in million,Environmental Pillar Score,Emissions Score,Environmental Innovation Score,Resource Use Score,Total CO2 Equivalent Emissions To Revenues USD in million,Energy Use Total,Board Meeting Attendance Average,"Board Gender Diversity, Percent",CSR Strategy Score,Management Score,Shareholders Score,ESG Reporting Scope,Board Size,Total Donations To Revenues in million,Product Responsibility Score,Workforce Score,Human Rights Score,Community Score,Women Managers,Gender Pay Gap Percentage,Women Employees,Employees With Disabilities,Policy Diversity and Opportunity Score,Training Hours Total,Average Training Hours
12,CHRW.OQ,513384000.0,,2016-12-31,2024-07-26T00:00:00Z,33.6562575959018,100.0,,,,,,,,,,,,3640000.0,,11.2617975117975,26.3513513513513,0.0,5.71428571428571,,,75.0,25.0,0.0,37.990614334471,20.5844709897611,,8.0,157.384893947232,75.3164556962025,56.3157894736842,0.0,91.0526315789474,34.39,,43.6,1.33,64.2857142857143,,
13,CHRW.OQ,504893000.0,,2017-12-31,2024-01-19T00:00:00Z,39.9091213312607,100.0,,,,,,,,,,,,392172.0,,21.538186050676,35.8823529411765,0.0,28.0821917808219,,309564.0,75.0,22.2222222222222,0.0,35.3880494505495,28.6229395604396,,9.0,123.490959273352,77.8409090909091,75.7142857142857,0.0,92.8571428571429,35.06,,44.83,1.47,62.8571428571429,123719.8,8.3
14,CHRW.OQ,664505000.0,,2018-12-31,2024-09-12T00:00:00Z,41.767749139807,100.0,,,,,,,,,,,,32240.0,,24.7600590623847,46.4285714285714,0.0,26.1627906976744,1.93852518158642,302184.0,75.0,33.3333333333333,0.0,55.8833333333333,27.6166666666667,,9.0,125.950081774015,73.5294117647059,67.948717948718,0.0,73.9316239316239,37.14,,44.84,1.66,60.6837606837607,137014.38,9.06
15,CHRW.OQ,576968000.0,,2019-12-31,2024-09-12T00:00:00Z,46.1587132555344,100.0,,,,,,,,149564.902102973,44550.0,,,32243.0,,35.6597222222222,53.75,0.0,53.1818181818182,2.10607682493781,297864.0,75.0,30.0,60.2014010507881,37.9579483912074,33.6572156737815,100.0,10.0,169.402439320715,74.5901639344262,79.3233082706767,0.0,73.3082706766917,39.0,,46.0,2.0,59.3984962406015,153270.0,10.0
16,CHRW.OQ,506421000.0,,2020-12-31,2024-09-12T00:00:00Z,43.7196041262598,100.0,,,,,,,,133121.772805508,44550.0,,,33630.0,,37.8059271332934,60.0719424460432,0.0,52.734375,2.07501573692429,334656.0,75.0,30.0,60.4612299465241,36.6535671100363,43.6064087061669,100.0,10.0,210.059525741363,23.448275862069,74.6710526315789,14.2857142857143,72.0394736842105,38.0,,47.0,1.0,57.5657894736842,148880.0,10.0
17,CHRW.OQ,844245000.0,,2021-12-31,2024-10-25T00:00:00Z,43.902108660427,100.0,,,,,,,,155364.142768723,54219.6,,3.33333333333333,32271.0,,35.9217811561562,60.3125,0.0,46.2837837837838,1.39688599737686,348984.0,75.0,30.0,62.8096995255667,40.2629297890783,47.804102860445,100.0,10.0,109.34092571671,23.8993710691824,73.5119047619048,15.1260504201681,70.5357142857143,41.0,,48.0,2.0,55.3571428571429,270032.0,16.0
18,CHRW.OQ,940524000.0,,2022-12-31,2024-09-10T00:00:00Z,39.7324970123432,100.0,,,,,,,,206923.260247855,62514.0,,3.88888888888889,27722.0,,31.3804423259552,58.6111111111111,0.0,33.4319526627219,1.12250269267834,302112.0,75.0,25.0,62.6820103334899,22.8583426651736,46.7945128779395,100.0,12.0,163.542592907526,23.4104046242775,74.8648648648649,22.1014492753623,71.6216216216216,46.0,,48.0,2.38,53.5135135135135,504600.0,29.0
19,CHRW.OQ,325129000.0,,2023-12-31,2024-09-06T00:00:00Z,41.2780265281018,100.0,,,,,,,,166761.723700887,56840.4,,5.61224489795918,32040.0,,41.3056016980436,54.1208791208791,0.0,71.2209302325581,1.82082698733832,340848.0,75.0,25.0,68.8744789254284,8.61223312175418,28.0871321407963,100.0,12.0,227.964072196586,21.264367816092,87.8378378378378,29.3918918918919,68.3783783783784,47.0,,48.0,3.0,52.972972972973,198198.0,13.0
20,AJG.N,303400000.0,,2013-12-31,2024-05-31T00:00:00Z,50.0275571918529,100.0,,,,,,,,,,,,16582.4,,21.870730568894,11.1650485436893,0.0,2.55102040816327,,,75.0,22.2222222222222,49.7292418772563,74.4626407369499,26.560900716479,100.0,9.0,,32.3529411764706,57.3825503355705,20.9302325581395,86.1486486486486,,,,,60.8552631578947,,
21,AJG.N,356800000.0,,2014-12-31,2024-05-31T00:00:00Z,51.5034418390335,100.0,,,,,,,,,,,,22926.6,,48.3846903583746,10.6481481481481,33.0357142857143,5.28846153846154,,,75.0,22.2222222222222,21.6636197440585,84.8004094165814,25.0255885363357,,9.0,,35.0393700787402,47.0394736842105,10.0,84.2105263157895,,,,,59.0909090909091,,
