RIC;Timestamp;Venue;Volume;VWAP;Bid;Ask
TTEF.PA;26-Sep-2024 10:31:33.198;;38;58.8165;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.184;;126;58.8165;58.9000;58.9200
TTEF.PA;26-Sep-2024 10:31:33.184;;35;58.8165;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.168;;71;58.8165;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.168;;64;58.8165;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.168;;133;58.8165;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.168;;87;58.8165;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.166;;83;58.8165;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.166;;160;58.8165;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.166;;232;58.8165;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.166;;64;58.8165;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.118;;232;58.8165;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.118;;7;58.8164;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:33.118;;47;58.8164;58.9100;58.9200
SHEL.L;26-Sep-2024 10:31:33.112;XLON;200;2,439.6580;2,442.5000;2,443.5000
SHEL.L;26-Sep-2024 10:31:33.111;XLON;260;2,439.6580;2,442.5000;2,443.5000
SHEL.L;26-Sep-2024 10:31:33.111;XLON;148;2,439.6580;2,442.5000;2,443.5000
SHEL.L;26-Sep-2024 10:31:33.111;XLON;450;2,439.6580;2,442.5000;2,443.5000
SHEL.L;26-Sep-2024 10:31:33.110;XLON;78;2,439.6580;2,442.5000;2,443.5000
BNPP.PA;26-Sep-2024 10:31:32.673;;39;63.3263;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:32.673;;100;63.3263;63.6400;63.6600
TTEF.PA;26-Sep-2024 10:31:30.724;;7;58.8164;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:30.724;;127;58.8164;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:30.724;;7;58.8164;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:30.724;;300;58.8164;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:30.724;;231;58.8164;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:30.723;;1;58.8164;58.8900;58.9000
BNPP.PA;26-Sep-2024 10:31:30.286;;150;63.3261;63.6400;63.6500
BNPP.PA;26-Sep-2024 10:31:30.282;;150;63.3259;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.282;;67;63.3257;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;430;63.3256;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;70;63.3251;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;59;63.3250;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;95;63.3249;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;66;63.3248;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;50;63.3247;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;125;63.3246;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;102;63.3244;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;100;63.3243;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;95;63.3241;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;150;63.3240;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;150;63.3238;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;66;63.3236;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;102;63.3235;63.6300;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;7;63.3234;63.6400;63.6500
BNPP.PA;26-Sep-2024 10:31:30.276;;56;63.3234;63.6400;63.6500
BNPP.PA;26-Sep-2024 10:31:30.275;;95;63.3233;63.6500;63.6600
BNPP.PA;26-Sep-2024 10:31:30.275;;178;63.3231;63.6500;63.6600
BNPP.PA;26-Sep-2024 10:31:30.275;;125;63.3229;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:30.275;;155;63.3227;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:30.275;;153;63.3225;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:30.275;;100;63.3223;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:30.271;;33;63.3221;63.6400;63.6600
