Latitude;Longitude;rp100;rp1000
-37,3575;143,6037;0;0
61,1669;28,7745;0;0
50,2132;19,2273;0,490410745;0,732523561
21,3114565;-158,1203256;;
51,9514;15,4879;0;0
41,12983;-7,1199;1,241711259;1,750694156
27,37;35,659;0;0
58,2804;12,2787;0;0
29,7087312;-95,1712653;0,28757149;0,43703419
32,5792;-83,5822;1,336289644;1,925845861
33,9406;-87,1077;5;5
45,9593;-98,9463;0;0
39,60368;-8,41283;0;0
32,9633;-86,5187;2,501805782;3,302007437
32,662;-85,0916;2,620219707;3,757264614
30,34;-88,4919;0,571214378;0,752671361
32,806;-86,4449;0;0
60,1483;24,7183;0,006991525;0,011384089
41,1903177;-7,1591156;0;0
42,5496124;12,6898925;1,110166907;1,432329655
62,5204;17,3875;0,056816585;0,085471585
50,5727;15,9634;0;0
63,5548;16,8289;0,124604098;0,209769726
46,3063;9,3823;0;0
52,4889;13,497;0,257513672;0,316266239
55,5297;7,9062;;
52,3942;12,4181;0,54874593;0,673620701
41,6641358;-8,0627986;0;0
41,1422284;-7,4326001;0;0
50,645;13,9865;0,89064455;1,21727407
63,2713;17,1987;0,124604098;0,209769726
50,3562;18,2907;0,292981863;0,391174495
21,45;39,186;0,045267481;0,058653045
43,4340864;28,4896267;0,211155385;0,28463006
63,2395;15,2372;0,408778012;0,64842701
34,8987692;-98,5773393;0;0
62,9509;16,6681;0,131189555;0,213206679
36,7069;-96,7003;0;0
48,533;-102,933;0;0
34,4461;-97,2697;0;0
52,5895;13,5587;0;0
42,8971;12,5381;0;0
66,6314;19,8199;0,11531467;0,189678937
54,1229112;-3,2446994;0,292454302;0,356424212
45,7084326;7,1392272;0,484714121;0,609210491
49,8237;17,4342;0;0
28,35;46,049;0;0
62,9764;16,6584;0,131189555;0,213206679
37,3123;13,5071;0,06029487;0,087857038
50,3955;-4,8996;0;0
-33,2665;19,0225;0;0
34,0128;-85,9708;1,419783235;2,157071829
33,2583;-85,616;0;0
50,2855;19,0532;0,490410745;0,732523561
37,3711479;126,5823922;;
53,3907;14,5253;0,318934023;0,377836823
65,0193;19,6856;0,077541009;0,113746241
41,0855635;-8,1357664;0,587377369;0,806826472
43,2069124;-5,4018105;0;0
35,5298;-99,8145;0;0
44,5580747;27,8823137;0,255148232;0,4006356
39,5357;-5,9891;0;0
64,947;16,8273;0;0
45,82596207;7,326741219;0;0
50,0646;22,0294;0,630258083;0,834688902
33,4259;-86,3375;1,876122832;2,640244961
60,9511;12,5432;0,557323933;0,964844704
53,5267;10,0658;0,366942436;0,469986558
21,28;40,407;0;0
45,7089;7,1399;0,484714121;0,609210491
52,5321;13,2461;0,286354989;0,323998362
47,6314;11,3371;0;0
35,535;-99,3828;0;0
31,2504;-88,0156;1,971964836;2,630861759
26,8;50,006;0,00705246;0,007338333
39,2167;-1,05;1,381361604;3,290944815
48,6259;14,304;0;0
52,9705759;17,0909472;0;0
41,1659976;-7,7367766;3,821098566;5
53,426;10,3359;1,021846175;1,296164751
62,4165;16,4952;0,339170933;0,588608742
64,4735;18,8815;0,113961406;0,165646136
46,4394;9,3595;0;0
60,5637;17,442;0,187583521;0,273148149
63,4402;16,8804;0,124604098;0,209769726
52,4758;4,6048;0;0
5,0627;-53,0476;0,926046371;1,034175396
40,2211;-6,133;0;0
55,6473769;13,4184339;0;0
34,8278;-97,9572;0;0
64,9654;17,5797;0,186281502;0,291030288
41,7137849;-8,0399958;0;0
65,4023;18,6727;0;0
42,672957;12,2131383;0;0
53,0475;18,6932;0;0
50,2956;18,8099;0;0
39,5464439;-8,3269284;0;0
41,9547;14,3884;0;0
54,5535;18,4803;0,046026431;0,059374817
48,8474;17,1197;0,29497087;0,395279467
50,1059;19,0164;0;0
26,4;43,944;0;0
58,275;12,2727;0;0
30,46;38,214;0,022033844;0,025831813
62,0411;14,9004;1,083961487;1,713834524
45,7223097;-120,1976557;1,777500868;2,706235886
28,47;36,519;0,074430987;0,082700215
22,31;46,662;0;0
29,2639;-95,8997;0,154942214;0,231465966
51,289055;11,998134;0;0
53,5663;9,7285;0,038267743;0,047395047
41,0816615;-84,7313573;0;0
46,9921819;-120,5722406;2,101488113;2,804567099
43,4337281;-95,3271291;0;0
43,6740911;-93,0087577;0;0
42,4515;-89,8784;0;0
40,371509;-89,5543096;0,42574507;1,079749823
27,3657;119,4298;0;0
65,0959;17,1173;0;0
32,6189;-86,2548;0,435814381;1,725365877
34,4468703;-97,1271388;0,947105289;1,334557533
63,9407242;-22,380634;0,138875216;0,201452881
39,1933;-5,5779;0;0
35,2900401;-97,864058;0;0
37,1766;-2,9502;0;0
41,0334567;-84,7808277;0;0
63,6366;16,7762;0,124604098;0,209769726
42,6649756;-90,132698;0;0
39,0121217;-80,1314634;0,121843584;0,180752039
38,7945031;16,4472047;0;0
45,1586052;-117,8137226;0;0
32,3102;-86,5254;0;0,735365629
45,4384795;-120,4868737;0,100642867;0,144027576
